wall_t,ref,other,dx,dy,dz,range_m,dyaw_deg
23.300,robot1,robot2,-18.4792,-0.9885,1.3776,18.5568,94.73
23.400,robot1,robot2,-18.4792,-0.9885,1.3776,18.5568,94.73
23.500,robot1,robot2,-18.4792,-0.9885,1.3776,18.5568,94.73
23.600,robot1,robot2,-18.4792,-0.9885,1.3776,18.5568,94.73
23.700,robot1,robot2,-18.4792,-0.9885,1.3776,18.5568,94.73
23.800,robot1,robot2,-18.4792,-0.9885,1.3776,18.5568,94.73
23.900,robot1,robot2,-18.4792,-0.9885,1.3776,18.5568,94.73
24.000,robot1,robot2,-18.4792,-0.9885,1.3776,18.5568,94.73
24.100,robot1,robot2,-18.4792,-0.9885,1.3776,18.5568,94.73
24.200,robot1,robot2,-18.4224,-1.4992,1.3748,18.5344,98.45
24.300,robot1,robot2,-18.4224,-1.4992,1.3748,18.5344,98.45
24.400,robot1,robot2,-18.4224,-1.4992,1.3748,18.5344,98.45
24.500,robot1,robot2,-17.2806,-1.7241,1.5001,17.4311,99.05
24.600,robot1,robot2,-17.2806,-1.7241,1.5001,17.4311,99.05
24.700,robot1,robot2,-17.2806,-1.7241,1.5001,17.4311,99.05
24.800,robot1,robot2,-17.2221,-1.9088,1.5224,17.3943,102.13
24.900,robot1,robot2,-17.2221,-1.9088,1.5224,17.3943,102.13
25.000,robot1,robot2,-17.2221,-1.9088,1.5224,17.3943,102.13
25.100,robot1,robot2,-17.2221,-1.9088,1.5224,17.3943,102.13
25.200,robot1,robot2,-16.9973,-1.9925,1.3591,17.1675,102.46
25.300,robot1,robot2,-16.9973,-1.9925,1.3591,17.1675,102.46
25.400,robot1,robot2,-16.9190,-2.1805,1.3231,17.1102,106.69
25.500,robot1,robot2,-16.9190,-2.1805,1.3231,17.1102,106.69
25.600,robot1,robot2,-16.9190,-2.1805,1.3231,17.1102,106.69
25.700,robot1,robot2,-16.6849,-2.0525,1.4768,16.8754,106.12
25.800,robot1,robot2,-16.6849,-2.0525,1.4768,16.8754,106.12
25.900,robot1,robot2,-16.6849,-2.0525,1.4768,16.8754,106.12
26.000,robot1,robot2,-16.6099,-2.2656,1.4780,16.8287,107.42
26.100,robot1,robot2,-16.6099,-2.2656,1.4780,16.8287,107.42
26.200,robot1,robot2,-16.6099,-2.2656,1.4780,16.8287,107.42
26.300,robot1,robot2,-16.5457,-2.3158,1.4539,16.7701,107.58
26.400,robot1,robot2,-16.5457,-2.3158,1.4539,16.7701,107.58
26.500,robot1,robot2,-16.5080,-2.5648,1.4310,16.7672,110.93
26.600,robot1,robot2,-16.5080,-2.5648,1.4310,16.7672,110.93
26.700,robot1,robot2,-16.5080,-2.5648,1.4310,16.7672,110.93
26.800,robot1,robot2,-16.5080,-2.5648,1.4310,16.7672,110.93
26.900,robot1,robot2,-16.5080,-2.5648,1.4310,16.7672,110.93
27.000,robot1,robot2,-16.5080,-2.5648,1.4310,16.7672,110.93
27.100,robot1,robot2,-16.4335,-2.6663,1.4371,16.7103,114.40
27.200,robot1,robot2,-16.4335,-2.6663,1.4371,16.7103,114.40
27.300,robot1,robot2,-16.4335,-2.6663,1.4371,16.7103,114.40
27.400,robot1,robot2,-16.4335,-2.6663,1.4371,16.7103,114.40
27.500,robot1,robot2,-16.4335,-2.6663,1.4371,16.7103,114.40
27.600,robot1,robot2,-16.3408,-2.8544,1.4109,16.6482,118.86
27.700,robot1,robot2,-16.3408,-2.8544,1.4109,16.6482,118.86
27.800,robot1,robot2,-16.3408,-2.8544,1.4109,16.6482,118.86
27.900,robot1,robot2,-16.3408,-2.8544,1.4109,16.6482,118.86
28.000,robot1,robot2,-16.3408,-2.8544,1.4109,16.6482,118.86
28.100,robot1,robot2,-16.3408,-2.8544,1.4109,16.6482,118.86
28.200,robot1,robot2,-16.3408,-2.8544,1.4109,16.6482,118.86
28.300,robot1,robot2,-16.3408,-2.8544,1.4109,16.6482,118.86
28.400,robot1,robot2,-16.3408,-2.8544,1.4109,16.6482,118.86
28.500,robot1,robot2,-16.3408,-2.8544,1.4109,16.6482,118.86
28.600,robot1,robot2,-15.6207,-1.7358,0.5829,15.7277,115.33
